,Name,Country,Proven victims,Possible victims,Notes,Start year,End year,Nickname
1065,"McWatters, Eugene",United,3,3,"Known as ""The Salerno Strangler""; Murdered women in Port Salerno, Florida",2004,Unknown,The Salerno Strangler
1066,"Meirhofer, David",United,4,4,First serial killer to be apprehended via usage of offender profiling,1967,1974,
1067,"Melanson, Roy",United,3,5+,Drifter connected to the rape-murders of at least three women in three states,1974,1988,
1068,"Metheny, Joe",United,5,10,"Raped and murdered women in Baltimore, allegedly cannibalizing his victims",1976,1996,
1069,"Mikhel, Iouri",United,5,5,Accomplice of Jurijus Kadamovas; Russian immigrant who kidnapped five people in California for ransom money and killed them,2001,2002,
1070,"Miller, Donald Gene",United,4,4,"Raped and killed women in East Lansing, Michigan",1977,1978,
1071,"Miller, Joseph Daniel",United,5,5+,"Kidnapped, raped and strangled black women around Harrisburg, Pennsylvania",1986,1990,
1072,"Miller, Joseph Robert",United,6,6+,"Killed prostitutes in Chicago and Peoria, some after being paroled for murder",1976,1993,
1073,"Mills, Lawrence Paul",United,3,4,"Murdered two prostitutes and an unborn baby by running them over with his car in Detroit, Michigan",2017,Unknown,
1074,"Moore, Henry Lee",United,2,25,"Suspect in the Villisca axe murders; sentenced to life imprisonment for killing his mother and grandmother with an axe, later commuted and released from prison in 1956",1911,1912,
1075,"Moore, Manuel",United,15,73+,"Part of ""The Death Angels"" cult responsible for the Zebra murders",1973,1974,The Death Angels
1076,"Morin, Stephen",United,4,48,Suspected in over 30 unsolved violent crimes across the country,1969,1981,
1077,"Morris, Cory",United,5,5+,"Known as ""The Crackhead Killer""; necrophile who murdered at least five prostitutes at his trailer in Phoenix, Arizona",2002,2003,The Crackhead Killer
1078,"Mors, Frederick",United,8,8,Murdered eight elderly patients by poison while employed in a nursing home in New York City; committed to Hudson River State Hospital; escaped in May 1916,1914,1915,
1079,"Morse, Hugh",United,4,4+,Former fugitive who murdered four women during a cross-country crime spree,1959,1961,
1080,"Morton, David Bruce",United,3,3+,"Morton has also been considered a suspect in a series of highly publicized murders on young women in Santa Fe, New Mexico",1983,1990,
1081,"Moseley, Winston",United,3,3,"Necrophile who sexually assaulted and murdered three women, including Kitty Genovese",1963,1964,
1082,"Mosley, Eddie",United,8,16+,"Raped and murdered numerous young girls and women in and around Fort Lauderdale, Florida",1973,1987,
1083,"Muhammad, John Allen",United,7,17,"With accomplice Lee Boyd Malvo, perpetrated the D.C. sniper attacks",2002,Unknown,
1084,"Mullin, Herbert",United,11,13,Eligible for parole in 2021,1972,1973,
1085,"Mullins, Michael",United,3,3,"Murdered three women over the span of 13 years in Memphis, Tennessee",1999,2012,
1086,"Murphy, Donald",United,2,6+,Murdered between two and at least six prostitutes in Detroit; another man was wrongfully suspected of three murders,1979,1980,
1087,"Nance, Wayne",United,0,5+,"Known as ""The Missoula Mauler""",1974,1986,The Missoula Mauler
1088,"Nardello, Antonio",United,3,3,"Italian laborer who robbed and murdered other laborers in Maryland and Washington, D.C.",1884,1885,
1089,"Naso, Joseph",United,6,10,Murdered six women in California; suspect in the Alphabet murders,1977,1994,
1090,"Neelley, Alvin",United,2,2,Committed murders with wife Judith Neelley,1982,Unknown,
1091,"Neelley, Judith",United,2,2,Committed murders with husband Alvin Neelley,1982,Unknown,
1092,"Nelson, Earle",United,22,22+,"Known as ""The Gorilla Man"". Executed for a murder he committed in Canada",1926,1927,The Gorilla Man
1093,"Nemechek, Francis",United,5,5,Raped and killed four women and a young boy in Kansas,1974,1976,
1094,"Newman, Allan Patterson",United,4,4,Murdered carjacking victims during a three-state crime spree,1991,1992,
1095,"Ng, Charles",United,11,25,"Along with accomplice Leonard Lake, they are also known as ""The Operation Miranda Killers""",1983,1985,The Operation Miranda Killers
1096,"Nissensohn, Joseph",United,4,4+,Raped and murdered teenagers and women in California and Washington,1981,1989,
1097,"Nixon, Robert",United,3,5,"Known as the ""Brick Moron""; confessed to five murders and multiple assaults in Los Angeles and Illinois; Nixon served, in part, as the basis of the character of Bigger Thomas in Richard Wright's 1940 social protest novel Native Son",1937,1938,Brick Moron
1098,"Noe, Marie",United,8,8,Pennsylvania woman who murdered eight of her children; two others died of natural causes,1949,1968,
1099,"Normore, Mario",United,4,4,Murdered four acquaintances during robberies or arguments,2017,Unknown,
1100,"Norris, Roy",United,5,5,"With accomplice Lawrence Bittaker known as ""Tool Box Killers""",1979,Unknown,Tool Box Killers
1101,"Northcott, Gordon Stewart",United,3,20,"Convicted of sexually assaulting and murdering three young boys in Wineville, California in what become known as the Wineville Chicken Coop murders; his mother, Sarah Louise Northcott, was implicated as an accomplice",1926,1928,
1102,"Ocampo, Itzcoatl",United,6,6,"Former marine suspected of killing six people around Orange County, California",2011,2012,
1103,"O'Dell, Diane",United,3,4,"Sullivan County, New York woman who murdered her illegitimate infants by asphyxiation",1982,1985,
1104,"Ortiz, Juan David",United,4,4,"Border Patrol agent who shot four sex workers in Webb County, Texas and attempted to kill a fifth woman.",2018,Unknown,
1105,"Pace, Lyndon Fitzgerald",United,4,5,"Robbed and murdered elderly women primarily in Atlanta's Vine City neighborhood. In 1990, he robbed the apartment of Coretta Scott King",1988,1989,
1106,"Page, Ivan",United,3,3,"Murdered prostitutes in Flint, Michigan",1998,2001,
1107,"Panzram, Carl",United,5,22,"Murderer, rapist, and arsonist; convicted of two murders, but confessed to 19 others",1920,1929,
1108,"Pardo, Manuel",United,9,9,South Florida former police officer who acted in partnership with Rolando Garcia; the two claimed to be ridding the world of drug dealers,1986,Unknown,
1109,"Parker, Gerald",United,6,6,"Known as ""The Bedroom Basher""; Orange County, California man who raped and murdered five women. Parker was not identified until 1996",1978,1978,The Bedroom Basher
1110,"Paster, James",United,3,5,"Along with his accomplice, Stephen McCoy, the pair murdered three people in the Houston Area. Paster confessed to two other murders for which he was never tried.",1980,1981,
1111,"Patton, Carl",United,5,5,Killed four acquaintances and one accomplice for money and to cover up his crimes,1973,1977,
1112,"Peete, Louise",United,3,3+,Convicted of murdering a man and woman decades apart; four other acquaintances died suspiciously and four husbands committed suicide,1913,1944,
1113,"Pennell, Steven Brian",United,2,5,"Known as ""The Route 40 Killer""; abducted and murdered women from Route 40 in Delaware",1987,1988,The Route 40 Killer
1114,"Perkins, Reginald",United,3,6,Murdered his stepmother in 2000 and two other women in Fort Worth in 1991. He also confessed to murdering another woman in Ohio in 1980 and is linked to two other murders in Cleveland,1980,2000,
1115,"Perry, Donna",United,3,3+,"Formerly known as Douglas Perry prior to 2000 gender transition, which the prosecution claimed was an attempt to avoid suspicion",1990,Unknown,
1116,"Peterson, Christopher",United,4,7,"Known as ""The Shotgun Killer""",1990,Unknown,The Shotgun Killer
1117,"Pierce, William",United,9,9+,One of his victims was the daughter of a South Carolina state senator,1970,1971,
1118,"Piper, Thomas W.",United,2,2+,"Canadian-born serial arsonist known as ""The Boston Belfry Murderer"". Preyed on women and a 5-year-old girl in and around Boston",1873,1875,The Boston Belfry Murderer
1119,"Player, Michael",United,10,10,"Known as ""The Skid Row Slayer""; targeted mostly homeless individuals in the Skid Row neighborhood of Los Angeles",1986,Unknown,The Skid Row Slayer
1120,"Pomeroy, Jesse",United,2,9,"Known as ""The Boy Torturer"". 14-year-old Massachusetts boy who killed two younger children. Youngest person in the history of Massachusetts to be convicted of murder.",1874,Unknown,The Boy Torturer
1121,"Pough, James Edward",United,12,12,"Killed a friend in 1971, then went on a shooting rampage in 1990",1971,1990,
1122,"Powers, Harry",United,5,5+,"Known as ""The West Virginia Bluebeard""; Dutch immigrant who lured victims through ""lonely hearts"" advertisements, murdering them for their money",1931,Unknown,The West Virginia Bluebeard
1123,"Presley, Aeman",United,4,4,"Shot and killed people in DeKalb and Fulton Counties, Georgia during robberies",2014,Unknown,
1124,"Price, Craig",United,4,4,Convicted as a minor; given an additional 10–25 year sentence for assaulting a corrections officer in prison,1987,1989,
1125,"Price, Larme",United,4,4,"Known as the ""Thrill Killer""; murdered four immigrants in New York in revenge for the September 11 attacks",2003,Unknown,Thrill Killer
1126,"Priest, Martin",United,2,5,"Convicted of murdering a young girl and one man in both Missouri and Kansas; acquitted, but still main suspect, in three other deaths",1980,1985,
1127,"Prieto, Alfredo",United,9,9,"Attacked mainly couples in Virginia and California, shooting them both after raping the women",1988,1990,
1128,"Prince Jr., Cleophus",United,6,6,"Known as ""The Clairemont Killer""; raped and murdered women in San Diego County, California",1990,Unknown,The Clairemont Killer
1129,"Pruett, Marion Albert",United,5,5,Committed his crimes while in the United States Federal Witness Protection Program,1981,Unknown,
1130,"Pruitt, Pleasant",United,3,3,Murdered his three wives in Indiana,1888,1902,
1131,"Puente, Dorothea",United,9,15,"Murdered elderly and mentally disabled boarders in Sacramento, California before cashing their Social Security checks; convicted of three killings, suspected of six others",1982,1988,
1132,Queho,United,13,23,"First Nevadan serial killer, found dead in cave 5 miles upriver from El Dorado Canyon. Cause of death uncertain.",1909?-1919,Unknown,
1133,"Rader, Dennis",United,10,10,"Known as ""The BTK Killer""",1974,1991,The BTK Killer
1134,"Ralston, Larry",United,4,5+,Abducted young women and teenage girls in Ohio,1975,1977,
1135,"Ramirez, Richard",United,15,15,"Known as ""The Night Stalker""",1984,1985,The Night Stalker
1136,"Ranes, Danny",United,4,4,"Kidnapped, raped and murdered women around Kalamazoo, Michigan with teenage accomplice Brent Koster",1972,Unknown,
1137,"Ranes, Larry",United,1,5,Robbed and murdered up to five men across four states,1964,Unknown,
1138,"Rardon, Gary",United,4,4,"Murdered a man who he was hitchhiked with, then murdered three more men in a 4-day spree",1962,1974,
1139,"Rasmussen, Terry Peder",United,6,6+,"Known as ""The Chameleon Killer""; main suspect in the Bear Brook murders, as well as other murders",1978,2002,The Chameleon Killer
1140,"Ray, Clifton",United,3,6+,"Responsible for the murders of three women in Kansas City, Missouri",1987,1994,
1141,"Red Dog, James Allen",United,5,5,Killed four people personally; also provided a prison gang with a lethal dose of drugs so they could kill another inmate,1973,1991,
1142,"Reece, William Lewis",United,4,4+,"Kidnapped, raped and murdered teenage girls and young women in Texas and Oklahoma",1997,Unknown,
1143,"Reed, Todd Alan",United,3,5,"Known as ""The Forest Park Killer""; sex offender who raped and strangled three homeless women in Portland, Oregon",1999,Unknown,The Forest Park Killer
1144,"Rees, Melvin",United,5,9+,"Known as ""The Sex Beast""",1957,1959,The Sex Beast
1145,"Reeves, Jack",United,4,4,Killed his three wives after they planned to leave him; also killed a man while stationed in Italy,1967,1994,
1146,"Reid, Billy Edwin",United,2,2+,"Reid is also a prime suspect for ""The Denver Prostitute Killer""",1989,Unknown,The Denver Prostitute Killer
1147,"Reid, Paul Dennis",United,7,7,"Known as ""The Fast Food Killer""",1997,Unknown,The Fast Food Killer
1148,"Rembert, Robert",United,5,5+,Truck driver who killed people across Ohio,1997,2015,
1149,"Reséndiz, Ángel Maturino",United,10,16,"Known as ""The Railroad/Railway/Railcar Killer""; truck driver who converted the sleeper cab of his truck into a torture chamber where he kept women, torturing and sexually assaulting them, before killing them",1986,1999,The Railroad/Railway/Railcar Killer
1150,"Respus, Asbury",United,2,8+,"Serial killer active in North Carolina with no particular victim profile; victims' ages ranged from 8 to 80, both male and female, and both white and black; claimed that mental health episodes prompted him to commit random murders",1900s,1931,
1151,"Rhoades, Paul Ezra",United,3,7+,Drug addict who killed clerks during robberies in Idaho; suspected of similar murders in Utah and Wyoming,1987,Unknown,
1152,"Rhoades, Robert Ben",United,3,50+,"Known as ""The Truck Stop Killer""",1975,1990,The Truck Stop Killer
1153,"Rice, Stanley",United,3,5+,Itinerant child molester who shot and killed young boys in Canada and the U.S.,1963,1968,
1154,"Rich, Darrell Keith",United,4,4,"Known as ""The Hilltop Rapist""; preyed on young women and girls in Redding, California",1978,Unknown,The Hilltop Rapist
1155,"Richards, Stephen D.",United,9,9+,"Known as ""The Nebraska Fiend"", Richards murdered nine people including a mother and her children. Suspected of additional murders.",1876,1878,The Nebraska Fiend
1156,"Richmond, Earl",United,4,4,Ex-Sergeant who raped and murdered four women in New Jersey and North Carolina,1991,Unknown,
1157,"Ridgway, Gary",United,49,90+,"Known as ""The Green River Killer""",1982,1998,The Green River Killer
1158,"Rifkin, Joel",United,9,17+,Mostly preyed on sex workers in New York City and Long Island,1989,1993,
1159,"Rissell, Montie",United,5,5,"Raped and murdered women in Alexandria, Virginia",1976,1977,
1160,"Ritchie, James Dale",United,5,5+,"Known as ""The Anchorage Serial Killer""",2016,Unknown,The Anchorage Serial Killer
1161,"Rivera, Reinaldo",United,4,4,"Abducted, raped and killed women in the Augusta metropolitan area",1999,2000,
1162,"Robbins, Malcolm",United,4,4+,Itinerant child molester who murdered young boys and teenagers in various states,1979,1980,
1163,"Robinson, Alonzo",United,2,6,Grave robber and cannibal convicted of a double murder; also suspected of murdering four women,1926,1934,
1164,"Robinson, Harvey Miguel",United,3,3,"Teenager who stalked, raped and killed women in Allentown, Pennsylvania",1992,1993,
1165,"Robinson, John Edward",United,8,8+,"Sometimes referred to as ""The Internet's first serial killer""",1984,1999,The Internet's first serial killer
1166,"Robinson, John Wesley",United,3,3,Murdered his girlfriend; later paroled and choked to death his wife and stepdaughter before dismembering their bodies,1896,1913,
1167,"Robinson, Sarah Jane",United,8,11,"Known as ""The Boston Borgia""; Irish-born poisoner who murdered family members and associates for profit in Massachusetts with the aid of accomplices Thomas R. Smith and Dr. Charles C. Beers",1881,1886,The Boston Borgia
1168,"Roche, John Francis",United,4,6,Active primarily in the Yorkville neighborhood of Manhattan,1953,1954,
1169,"Rodriguez, Antonio",United,3,3,"Known as ""The Kensington Strangler""; raped and killed drug-addicted women in Kensington, Philadelphia",2010,Unknown,The Kensington Strangler
1170,"Rodriguez, Robert Neal",United,3,3,Former police officer,1984,1992,
1171,"Rogers, Dayton Leroy",United,7,8+,"Known as ""The Molalla Forest Killer""; raped and murdered sex workers in Oregon",1983,1987,The Molalla Forest Killer
1172,"Rogers, Glen Edward",United,4,5,Death sentence currently under appeal,1993,1995,
1173,"Rogers, Richard Westall",United,2,7+,"Known as ""The Last Call Killer""; murdered and dismembered gay and bisexual men",1992,1993,The Last Call Killer
1174,"Rolling, Danny",United,8,8,"Pleaded guilty to murdering five students in Gainesville, Florida",1989,1990,
1175,"Ross, Michael Bruce",United,8,8+,"Known as ""The Roadside Strangler""",1981,1984,The Roadside Strangler
1176,"Roye, Norman",United,3,3,"Known as ""The Dreaded Strangler""; Manhattan youth who murdered women during home invasions",1953,1954,The Dreaded Strangler
1177,"Rozier, Robert",United,4,7,Former NFL player; sentenced to 22 years for murder after agreeing to testify against Yahweh ben Yahweh's organization,1981,1986,
1178,"Rulloff, Edward H.",United,3,5,"Known as ""The Genius Killer""; Canadian-born doctor, lawyer, schoolmaster, photographer, inventor, carpet designer, phrenologist, philologist and career criminal active in New York. Rulloff's brain is said to be the second largest brain on record and is on display at the Wilder Brain Collection in the psychology department of Cornell University",1844,1870,The Genius Killer
1179,"Rundle, David Allen",United,3,3,Strangled young women and teenage girls in California's Sacramento and Placer counties,1986,Unknown,
1180,"Runge, Paul",United,7,8+,Sexually assaulted and murdered women and one girl in Cook and DuPage counties in Illinois,1995,1997,
1181,"Russell, George Waterfield",United,3,3,"Known as ""The Charmer""; raped and murdered women in Seattle suburbs, mutilating and having sex with the corpses afterwards",1990,Unknown,The Charmer
1182,"Rutterschmidt, Olga",United,2,2,"Killed vagrants with her partner-in-crime, Helen Golay",1999,2005,
1183,"Saenz, Kimberly Clark",United,5,10+,Killed five patients by injecting bleach into their dialysis lines,2008,Unknown,
1184,"Saldivar, Efren",United,6,50+,Respiratory therapist who murdered his patients at Adventist Health Glendale,1988,1998,
1185,"Samartaney, Malik",United,3,6,"Killed one of his friends, his son, and his daughter",1991,2019,
1186,"Sanchez, Altemio",United,3,3+,"Known as ""The Bike Path Rapist""; responsible for three murders and numerous rapes spanning a 25-year period in Buffalo, New York",1990,2006,The Bike Path Rapist
1187,"Santo, Anthony",United,3,3,"Juvenile who murdered two cousins and a girl during ""mad spells""",1908,Unknown,mad spells
1188,"Sapp, William",United,3,3+,"Rapist who murdered women and children around Springfield, Ohio",1992,1993,
1189,"Schaefer, Gerard John",United,2,34,"Imprisoned in 1973 for the murders of two women while he was a sheriff's deputy in Martin County, Florida",1969,1973,
1190,"Schmid, Charles",United,3,4,"Known as ""The Pied Piper of Tucson""; murdered three teenage girls in Arizona with the aid of local teenagers",1964,Unknown,The Pied Piper of Tucson
1191,"Schmidt, Helmuth",United,1,4+,"German-born bigamist known as ""The American Bluebeard""",1913,1917,The American Bluebeard
1192,"Seda, Heriberto",United,3,3,New York City copycat of the Zodiac Killer; selected his victims based on their astrological signs,1990,1993,
1193,"Segundo, Juan",United,4,4+,Raped and killed young girls and women in the Fort Worth area,1986,1995,
1194,"Sells, Tommy Lynn",United,6,22+,"Confessed to murdering dozens of people, possibly in excess of 70, only six are confirmed",1980,1999,
1195,"Seoung, Doeur",United,4,4,"Cambodian-born burglar who raped, strangled and robbed his victims, beginning when he was a teenager",1985,1998,
1196,"Severance, Charles",United,3,3,"Murdered elderly residents in Alexandria, Virginia out of hatred for the rich",2003,2014,
1197,"Sharp, Michael Eugene",United,3,5+,"Abducted, raped and killed women and children across West Texas",1982,Unknown,
1198,"Shaw, Sebastian",United,3,13,"Murdered victims selected at random in Portland, Oregon; confessed to additional murders, including one in California",1991,1992,
1199,"Shawcross, Arthur",United,12,14,"Known as ""The Genesee River Killer""",1972,1989,The Genesee River Killer
1200,"Sherman, Lydia",United,12,12,"Known as ""The Derby Poisoner""; poisoned eight children in her care, six of which were her own, and her three husbands in Connecticut and Rhode Island",1863,1877,The Derby Poisoner
1201,"Shermantine, Wesley",United,4,19,"Along with accompliace Loren Herzog, known as ""The Speed Freak Killers""",1984,1999,The Speed Freak Killers
1202,"Shore, Anthony Allen",United,4,4+,"Known as ""The Tourniquet Killer""; murdered three young girls and a young woman in Texas",1986,1995,The Tourniquet Killer
1203,"Shulman, Robert",United,5,5,Preyed on sex workers in New York,1991,1996,
1204,"Siebert, Daniel Lee",United,10,13,Killed nine people across America in three months; responsible for at least one of the Southside Slayer murders,1979,1986,
1205,"Sifuentes, Jose",United,3,3,Strangled three women to death in Dallas; after posting bail he fled the country for sixteen years before he was re-apprehended in 2019,1998,2003,
1206,"Silva, Mauricio",United,4,4,"Known as ""The Monster""; killed an acquaintance as a teenager; paroled and went on to kill two teenage runaways and his half-sister",1978,1984,The Monster
1207,"Silveria Jr., Robert Joseph",United,9,14+,"Known as ""The Boxcar Killer""; alleged member of Freight Train Riders of America",1981,1996,The Boxcar Killer
1208,"Simmons, Beoria",United,3,3,"Preyed on women and teenage girls in Jefferson County, Kentucky",1981,1983,
1209,"Simon, J.C.X.",United,15,73+,"Part of ""The Death Angels"" cult responsible for the Zebra murders",1973,1974,The Death Angels
1210,"Sims, Ray Dell",United,5,5+,Raped and strangled teenage girls in Fresno,1974,1977,
1211,"Sinclair, Charles T.",United,13,13+,"Known as ""The Coin Shop Killer""; targeted coin shop owners in order to rob them of valuable coin collections",1980,1990,The Coin Shop Killer
1212,"Singh, Michael",United,3,3,Killed his girlfriend and two wives during violent outbursts,1975,1982,
1213,"Smallwood, Robert",United,3,3,"Raped and murdered women in Lexington, Kentucky, and additionally linked to other rapes",1999,2006,
1214,"Smith, Gayno",United,6,6,Killed six family members in Iowa,1961,1962,
1215,"Smith, Lemuel",United,5,6,First convict to kill an on-duty female corrections officer,1958,1981,
1216,"Smith, Mark Alan",United,4,12+,Convicted of killing at least four women in Illinois and Arkansas; claimed in his book to have murdered eight women while stationed in Germany,1969,1970,
1217,"Smith, William Scott",United,4,4+,"Kidnapped, raped and strangled women in Salem, Oregon",1981,1984,
1218,"Snyder, Leroy",United,7,7,"Active in Camden, New Jersey in a period of eight months.",1969,Unknown,
1219,"Solomon Jr., Morris",United,6,7,"Known as ""The Sacramento Slayer""",1986,1987,The Sacramento Slayer
1220,"Soper, Edward Bates",United,5,5,"Killed his father, wife and two children in Missouri in separate incidents; fled to Oregon, where he killed another young child before his capture",1880,1897,
1221,"Southard, Lyda",United,6,6,"Known as ""Flypaper Lyda""; serial poisoner who killed four husbands, a young daughter and a brother-in-law",1915,1920,Flypaper Lyda
1222,"Sowell, Anthony",United,11,11,"Known as ""The Cleveland Strangler"" and ""The Imperial Avenue Murderer""",2007,2009,The Cleveland Strangler
1223,"Spangler, Robert",United,4,4,Murdered members of his own family in Colorado and Arizona,1978,1993,
1224,"Spencer, Timothy Wilson",United,4,5,"Known as ""The Southside Strangler""; committed three rapes and murders in Richmond, Virginia and one in Arlington County, Virginia in the autumn of 1987. He is believed to have committed at least one previous murder, in 1984, for which a different man was wrongfully convicted.",1984,1988,The Southside Strangler
1225,"Spillman, Jack Owen",United,3,3,"Known as ""The Werewolf Butcher""",1994,1995,The Werewolf Butcher
1226,"Spisak, Frank",United,3,3,Neo-Nazi sympathizer who shot people during a racist and anti-Semitic shooting spree at Cleveland State University,1982,Unknown,
1227,"Spreitzer, Edward",United,18,18,"Member of the satanic cult and organized crime group known as ""The Ripper Crew"" or ""The Chicago Rippers""",1981,1982,The Ripper Crew
1228,"Stafford, Roger Dale",United,9,34,His wife implicated him in 34 different murders in seven different states,1974,1978,
1229,"Stanley, Gerald Frank",United,2,2+,"After being paroled for murdering his first wife in 1975, he married twice more, murdering both",1975,1980,
1230,"Stano, Gerald",United,22,41+,Guilt has been questioned,1969,1980,
1231,"Stayner, Cary",United,4,4,Brother of kidnap victim Steven Stayner; murdered women in and around Yosemite National Park,1999,Unknown,
1232,"Steeves, Richard",United,6,6,Murdered five people in three states from 1965 to 1966; was controversially released from prison in 1985 and later killed a sixth person,1965,1985,
1233,"Stephani, Paul Michael",United,3,3,"Known as ""The Weepy-Voiced Killer"" due to a series of telephone calls he made to police, anonymously reporting his crimes in a remorseful and high-pitched voice; active in the Minneapolis–Saint Paul area",1980,1982,The Weepy-Voiced Killer
1234,"Stevens, Charles",United,4,4,Murdered four people from April to July 1989 on California Interstate-580,1989,Unknown,
1235,"Stickles, Martin",United,3,3,"Known as ""The Kelso Killer""; murdered three people during robberies in Cowlitz County, Washington",1899,1900,The Kelso Killer
1236,"Stokes, Winford",United,3,3,Career criminal and prison escapee who murdered people in St. Louis,1969,1978,
1237,"Suff, William",United,12,22,"Known as ""The Riverside Prostitute Killer""",1974,1992,The Riverside Prostitute Killer
1238,"Sully, Anthony",United,6,6,Ex-policeman who tortured and killed prostitutes and drug dealers at his Burlingame warehouse,1983,Unknown,
1239,"Sumpter, Michael",United,3,3,"Raped and murdered women in the Boston area, including Jane Britton",1969,1973,
1240,"Surratt, Edward Arthur",United,7,18+,"Serial rapist and murderer operating mainly in western Pennsylvania and eastern Ohio, also known as ""The Shotgun Killer"". Although suspected in more than 18 murders, Surratt was convicted of one murder in South Carolina. Surratt confessed to six additional murders in 2021.",1977,1978,The Shotgun Killer
1241,"Sutton, Nicholas Todd",United,4,4,Killed two friends and his grandmother during money and drug-related disputes; later stabbed to death a prison inmate,1979,1985,
1242,"Swango, Michael",United,4,60,Physician and surgeon who poisoned patients and colleagues in the US and Zimbabwe,1981,1997,
1243,"Swann, James",United,4,4,"Known as ""The Shotgun Stalker""; responsible for random drive-by shotgun shootings in Washington, D.C.",1993,Unknown,The Shotgun Stalker
1244,"Taborsky, Joseph ""Mad Dog""",United,7,7,Only convict to be sentenced to death twice for different crimes,1950,1957,
1245,"Tavares, Daniel",United,4,4,"Murdered a woman, his mother and later two others after his release from prison",1988,2007,
1246,"Taylor, Kevin",United,4,4,Preyed on sex workers in Southside Chicago,2001,Unknown,
1247,"Terry, Charles E.",United,1,4+,Suspected of committing some of the Boston Strangler murders,1951,1963,
1248,"Terry, Michael",United,6,6,"Murdered six men in Atlanta, Georgia in a 10-month period",1985,1986,
1249,"Tersargyan, Alberd",United,4,4,"Armenian immigrant who murdered a family of three and a prostitute in Hollywood, Los Angeles",2008,2010,
1250,"Tholmer, Brandon",United,12,34,"Known as ""The West Side Rapist""; preyed on elderly women in Westside, Los Angeles County",1981,1983,The West Side Rapist
1251,"Thomas Jr., John Floyd",United,7,15+,"Known as ""The Southland Strangler"" and ""The Westside Rapist""",1972,1986,The Southland Strangler
1252,"Thompson, William Paul",United,3,6,Career criminal who killed people in California and Nevada; confessed to three additional murders in other states,1983,1984,
1253,"Tinning, Marybeth",United,2,9,New York woman who murdered her children,1972,1985,
1254,"Toole, Ottis",United,6,6+,Accomplice of Henry Lee Lucas; claimed to have murdered Adam Walsh,1976,1983,
1255,"Toppan, Jane",United,12,31+,"Known as ""Jolly Jane""; nurse who poisoned both patients and family members in Massachusetts",1895,1901,Jolly Jane
1256,"Torrence, Michael",United,3,3,Robbed and killed two men with his brother and his wife; later killed a prostitute in Charleston during an argument,1987,Unknown,
1257,"Travis, Maury",United,2,17+,"Suspected of kidnapping, torturing and killing women at his home in Ferguson, Missouri",2000,2002,
1258,"Ture Jr., Joseph",United,6,7+,Murdered a family of four and two other women in Minnesota,1978,1980,
1259,"Turner, Chester",United,15,16,Convicted of murdering ten women and a viable unborn baby in South Los Angeles,1987,1998,
1260,"Urdiales, Andrew",United,8,8,"Murdered woman in Indiana, Illinois and California",1986,1996,
1261,"Vann, Darren Deon",United,7,7+,Indiana murderer who killed seven women; five of which were found in abandoned structures in the city of Gary,2013,2014,
1262,"Vaultz, Horace Van",United,3,3+,Raped and murdered women across California; his home contained photographs of over 20 potential victims,1981,1986,
1263,"Van Dyke, David",United,6,6,"Murdered six people in their homes in Milwaukee, Wisconsin",1979,1980,
1264,"Vermilya, Louise",United,9,9,Charges dismissed,1893,1911,
1265,"Victor, Clarence",United,3,3,"Killed three people in Omaha, Nebraska, the latter two while on parole",1964,1987,
1266,"Villarreal, David",United,5,7,Gay drifter who tortured and murdered acquaintances in San Antonio and Dallas,1979,1981,
1267,"Wade, Joshua",United,5,5+,Murdered people across Alaska during angry outbursts or robberies,1994,2007,
1268,"Walker, Anthony Guy",United,6,6+,"Career criminal who murdered mainly across Lenawee County, Michigan",1975,1986,
1269,"Wallace, Henry Louis",United,11,11,"Known as ""The Taco Bell Strangler""; preyed on women in and around Charlotte, North Carolina",1990,1994,The Taco Bell Strangler
1270,"Walton, Edward",United,5,5,Confessed to murdering five people across five states,1896,1908,
1271,"Walls, Frank Athen",United,5,5,"Confessed to murdering five people across Ocean City, Florida",1985,1987,
1272,"Ward, Ronald James",United,4,4+,"Murdered at least three women and one man in three states, in the span of four months",2000,Unknown,
1273,"Wardrip, Faryion",United,5,5,Death sentence currently under appeal,1984,1986,
1274,"Warren, Edward Delon",United,3,3,"Murdered a couple in Brookings, Oregon; later linked via DNA to an unsolved murder in Portland",1976,1979,
1275,"Washington, Steven",United,3,3,"Known as ""The Window-Screen Rapist""; juvenile who raped and killed elderly women around St. Petersburg, Florida",1963,Unknown,The Window-Screen Rapist
1276,"Watson, Alexander Wayne",United,4,4,"Raped, stabbed and strangled women in two Maryland counties",1986,1994,
1277,"Watts, Carl Eugene",United,22,100,"Known as ""The Sunday Morning Slasher""",1974,1982,The Sunday Morning Slasher
1278,"Weldon, Stewart",United,3,3,"Tortured and murdered women in Springfield, Massachusetts",2017,2018,
1279,"Werner, Karl F.",United,3,3,"Murdered teenage girls in Santa Clara County, California",1969,1971,
1280,"Wheeler-Weaver, Khalil",United,3,4,"Killed women he met through dating apps in Orange, New Jersey",2016,Unknown,
1281,"Whisenhant, Thomas",United,4,4+,"Kidnapped and murdered female clerks from convenience stores in Mobile County, Alabama",1963,1976,
1282,"White, Larry Lamont",United,3,3,"Shot and killed women in Louisville, Kentucky during apparent robberies",1983,Unknown,
1283,"White, Nathaniel",United,6,6,"Confessed to bludgeoning and stabbing six women to death in Hudson Valley, New York while on parole",1991,1992,
