Name,Born,Died,Cause of death,Nicknames,Motive,Conviction,Criminal Penalty,Criminal Status,Victims,Span of Crimes,Country,State(s),Date Apprehended
Charles Schmid,"Charles Howard Schmid Jr.(1942-07-08)July 8, 1942Tucson, Arizona, U.S.","March 30, 1975(1975-03-30) (aged 32)Florence, Arizona, U.S.",Unknown,The Pied Piper of TucsonSmitty,Unknown,First-degree murder (x2)Second degree murder,Unknown,Unknown,3–4,1964–1965,United States,Arizona,"November 10, 1965"
Lee Roy Martin,"Lee Roy MartinApril 25, 1937Gaffney, South Carolina, U.S.","May 31, 1972 (age 35)Central Correctional Institution, Columbia, South Carolina, U.S.",Unknown,The Gaffney Strangler,Unknown,Murder (4 counts),Unknown,Unknown,4,1967–1968,United States,South Carolina,"February 15, 1969"
Erwin Hagedorn,"Hans Erwin Hagedorn(1952-01-30)30 January 1952Eberswalde, Brandenburg, East Germany","15 September 1972(1972-09-15) (aged 20)Leipzig Prison, Leipzig, East Germany",Unknown,Unknown,Sexual sadism,Murder with aggravating circumstances (3 counts)Sexual abuse of childrenAttempted sexual abuse of children,Unknown,Unknown,3,1969–1971,East Germany,Eberswalde,12 November 1971
Karl F. Warner,"Karl Francis WernerMay 12, 1952Marlborough, Massachusetts, U.S.","May 5, 2015 (aged 62)[1]Vacaville, California, U.S.",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,3,1969–1971,United States,California,Unknown
Howard Arthur Allen,"Howard Arthur Allen(1949-02-10)February 10, 1949Indianapolis, Indiana, U.S.","June 5, 2020(2020-06-05) (aged 71)Wabash Valley Correctional Facility, Haddon Township, Indiana, U.S.",Unknown,Unknown,Unknown,MurderVoluntary manslaughterRobbery with serious bodily injuryTheft,Unknown,Unknown,3,1974–1987,United States,Indiana,"August 4, 1987"
Trevor Hardy,"Trevor Joseph Hardy11 June 1945Newton Heath, Manchester, England","25 September 2012 (aged 67)HM Prison Wakefield, West Yorkshire, England",Unknown,The Beast of ManchesterThe Monster of Manchester,Unknown,Unknown,Unknown,Unknown,3,31 December 1974 – 8 March 1976,England,Manchester,August 1976
Steven David Catlin,"1944 (age 79–80)Kern County, California, United States",Unknown,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,3–4,1976–1984,United States,"California, Nevada",Unknown
Paul Michael Stephani,"September 8, 1944Austin, Minnesota, U.S.","June 12, 1998 (aged 53)Oak Park Heights Prison, Oak Park Heights, Minnesota, U.S.",Unknown,The Weepy-Voiced Killer / Weepy-Voiced Man,Unknown,2 counts of attempted murder3 counts of murder,Unknown,Unknown,"5 (3 killed, 2 survived)",1980–1982,United States,MinnesotaWisconsin,"August 21, 1982"
Dámaso Rodríguez Martín,"Dámaso Rodríguez Martín(1944-12-11)December 11, 1944El Batán, San Cristóbal de La Laguna, Tenerife, Canary Islands","February 19, 1991(1991-02-19) (aged 46)El Solís, Tegueste, Tenerife, Canary Islands",Unknown,"""El Brujo"", ""Maso""",Unknown,Unknown,Unknown,Unknown,3,1981–1991,Spain,Canary Islands,Committed suicide to avoid apprehension
Altemio Sanchez,"Altemio C. Sanchez(1958-01-19)January 19, 1958San Sebastián, Puerto Rico, U.S.","September 22, 2023(2023-09-22) (aged 65)[1]Millard Fillmore Suburban Hospital, Amherst, New York, U.S.",Unknown,"The Bike Path Killer,The Bike Path RapistUncle Al",Unknown,Second degree murder (3 counts)RapeSolicitation,Unknown,Unknown,"3 (Murder), 9–15+ (Rape)","1975 – September 29, 2006",United States,New York,"January 15, 2007"
Gregory Brazel,"Gregory John Brazel (1954-11-17) 17 November 1954 (age 70)Blacktown, New South Wales, Australia",Unknown,Unknown,Unknown,Unknown,Contempt of courtArmed robberyMurder x3ArsonBribery,Unknown,Unknown,3,1982–1990,Australia,Victoria,26 September 1990
Brian Dugan,"Brian James Dugan (1956-09-23) September 23, 1956 (age 68)Nashua, New Hampshire, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3+,"February 25, 1983 – June 2, 1985",United States,Illinois,"June 3, 1985"
Valery Asratyan,"Valery Georgievich Asratyan1958Yerevan, Armenian SSR, Soviet Union[1]","1996 (aged 37/38)Butyrka Prison, Moscow, Moscow Oblast, Russia",Unknown,"""The Director""",Unknown,Murder with aggravating circumstances,Unknown,Unknown,2+,1988–1990,Unknown,Soviet Union,1990
Francisca Ballesteros,"1969 (age 54–55)Valencia, Spain",Unknown,Unknown,The Melilla PoisonerThe Poisoner of MelillaPaqui Ballesteros[1],Unknown,"Murder, Attempted murder",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Silvo Plut,"(1968-05-29)29 May 1968Novo Mesto, Socialist Republic of Slovenia, Socialist Federal Republic of Yugoslavia","April 28, 2007(2007-04-28) (aged 38)Ljubljana, Slovenia",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3,1990–2006,SloveniaSerbia,Unknown,Unknown
Gabriel Garza Hoth,Gabriel Garza HothMexico,Unknown,Unknown,The Black Widower,Unknown,Unknown,Unknown,Unknown,3,1991–1998,Mexico,Unknown,Unknown
Robert Napper,"Robert Clive Napper (1966-02-25) 25 February 1966 (age 58)Erith, London, United Kingdom",Unknown,Unknown,The Green Chain RapistThe Plumstead Ripper,Unknown,Unknown,Unknown,Unknown,3,15 July 1992 – November 1993,United Kingdom,Unknown,May 1994
Antonis Daglis,Antonis Daglis1974,2 August 1997(1997-08-02) (aged 22–23)Greece,Unknown,The Athens Ripper,Unknown,Unknown,Unknown,Unknown,3 murders6 attempted murders,1992–1995,Greece,Attica,Unknown
Gustavo Romero Tercero,"Gustavo Romero Tercero (1971-12-16) 16 December 1971 (age 52)Valdepeñas, Spain",Unknown,Unknown,The Valdepeñas Killer,Unknown,Unknown,Unknown,Unknown,3,1993–1998,Spain,Ciudad Real,9 October 2003
Peter Bryan,"(1969-10-04) 4 October 1969 (age 55)London, England",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,United Kingdom,Unknown,Originally 1994
Lam Kwok-wai,(1971-01-27) 27 January 1971 (age 53)Hong Kong,Unknown,Unknown,The Tuen Mun Rapist,Unknown,Murder (3 counts)Robbery (7 counts)Rape (8 counts),Unknown,Unknown,3 murders,Unknown,Unknown,Unknown,9 August 1993
Dana Sue Gray,"Dana Sue Armbrust (1957-12-06) December 6, 1957 (age 66)Southern California, United States",Unknown,Unknown,Unknown,Unknown,MurderAttempted murderRobbery,Unknown,Unknown,"3 (murder), 1 (robbery and attempted murder)","February 16 – March 16, 1994",United States,California,"March 16, 1994; 30 years ago (1994-03-16)"
Robin Ligus,"Robin Stanislaw Ligus(1952-03-06)6 March 1952Baschurch, Shropshire, England","16 December 2022(2022-12-16) (aged 70)Birmingham, England",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,England,Shropshire,Unknown
Jack Owen Spillman,"Roy Wilson[2] (1969-08-30) August 30, 1969 (age 55)Spokane, Washington, U.S.",Unknown,Unknown,The Werewolf Butcher,Unknown,First degree murder (3 counts),Unknown,Unknown,3,1994–1995,United States,Washington,"April 19, 1995[1]"
Scott Williams,"Scott Wilson Williams (1963-12-03) December 3, 1963 (age 60)Monroe, North Carolina, U.S.",Unknown,Unknown,Unknown,Unknown,First degree murder (3 counts),Unknown,Unknown,3,1997–2006,United States,North Carolina,"March 9, 2006"
Juan Covington,"Juan Edward Covington (1962-03-03) March 3, 1962 (age 62)Philadelphia, Pennsylvania, U.S.",Unknown,Unknown,Unknown,Unknown,Murder x3Attempted murder x2,Unknown,Unknown,3+,1998–2005,United States,Pennsylvania,"July 12, 2005"
Matthew James Harris,"(1968-06-30) 30 June 1968 (age 56)Wagga Wagga, New South Wales, Australia",Unknown,Unknown,Unknown,Unknown,Murder × 3,Unknown,Unknown,3,1 October – 3 November 1998,Australia,New South Wales,1 December 1998
Yukio Yamaji,"(1983-08-21)August 21, 1983Shimonoseki, Yamaguchi, Japan[1]","July 28, 2009(2009-07-28) (aged 25)Osaka Detention House, Miyakojima-ku, Osaka, Japan",Unknown,Unknown,Unknown,Murder (3 counts),Unknown,Unknown,3 (including his mother),"July 29, 2000 – November 17, 2005",Japan,"Yamaguchi, Osaka","December 5, 2005"
Hiroshi Maeue,"Hiroshi Maeue(1968-08-08)August 8, 1968Osaka Prefecture, Japan","July 28, 2009(2009-07-28) (aged 40)Osaka Detention House, Osaka, Japan",Unknown,The Suicide Website Murderer,Unknown,Murder (3 counts),Unknown,Unknown,3,"February 19 – June 10, 2005",Japan,"Osaka, Osaka Prefecture","August 8, 2005"
António Luís Costa,"1953 (age 70–71)Santa Comba Dão, Portugal",Unknown,Unknown,Unknown,Unknown,Murder (3 counts),Unknown,Unknown,3,2005–2006,Portugal,Unknown,24 June 2006
Özgür Dengiz,"1984 (age 39–40)Edirne, Turkey",Unknown,Unknown,Cannibal of Ankara,Unknown,Unknown,Unknown,Unknown,3,1997–2007,Turkey,Unknown,"September 14, 2007"
Mario Alberto Sulú Canché,"Mario Alberto Sulú Canché1979Mérida, Yucatán, Mexico","August 29, 2008(2008-08-29) (aged 28–29)Mérida Social Readaptation Center, Mérida, Yucatán, Mexico",Unknown,"The Young Girls Killer (Spanish: ""El Matachavitas"")Mario Alberto Sulub Canché",Unknown,Unknown,Unknown,Unknown,3,2007–2008,Mexico,Yucatán,4 August 2008
Kimberly McCarthy,"Kimberly LaGayle McCarthy(1961-05-11)May 11, 1961Greenville, Texas, U.S.","June 26, 2013(2013-06-26) (aged 52)Huntsville Unit, Huntsville, Texas, U.S.",Unknown,Unknown,Unknown,Capital murder,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"July 21, 1997"
Larry Hall,"Larry DeWayne Hall (1962-12-11) December 11, 1962 (age 61)Wabash, Indiana, U.S.",Unknown,Unknown,Unknown,PossessionControlSexual sadism,Kidnapping (18 U.S.C. § 1201),Unknown,Unknown,"2 confirmed,[fn 1] 35–50+ confessed and suspected","March 29 – September 23, 1993 (confirmed)February 5, 1981 – October 9, 1994 (suspected)",United States,"Indiana, Illinois (confirmed)Wyoming, Michigan, Missouri, Kansas, Georgia, Ohio, Alabama, Pennsylvania, Wisconsin, Virginia, Tennessee, Kentucky (suspected)","October 28, 1994"
Alejandro Máynez,Armando Martínezc. 1970sMexico,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2–50,1980s–1990s,Mexico,Unknown,Unknown
Billy Gohl,"William F. GohlFebruary 6, 1873Germany","March 3, 1927 (aged 54)Eastern State Hospital Spokane County, Washington, United States",Unknown,"Ghoul of Grays Harbor ""Billy Montana""",Unknown,Unknown,Unknown,Unknown,2 (but possibly 100+)[1],1902–1910,United States,Washington,1910
Gerard John Schaefer,"Gerard John Schaefer Jr.March 26, 1946Neenah, Wisconsin, U.S.","December 3, 1995(1995-12-03) (aged 49)Florida State Prison, Raiford, Florida, U.S.",Unknown,Jerry Shepherd  The Killer Cop  The Hangman  The Butcher of Blind Creek[2],Sexual sadismPossessionNecrophilia,First degree murder (2 counts),Unknown,Unknown,2–28+,"September 27, 1972 (confirmed)  October 2, 1966 – January 11, 1973 (suspected)",United States,Florida,"April 7, 1973"
Macario Alcala Canchola,"c. 1930 (1930)Mexico City, Mexico",Unknown,Unknown,"""Mexican Jack""",Unknown,Unknown,Unknown,Unknown,2–12+,1960–1962,Mexico,Mexico City,September 1962
Bruce Lindahl,"(1953-01-29)January 29, 1953St. Charles, Illinois, U.S.","April 4, 1981(1981-04-04) (aged 28)Naperville, Illinois, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3 murders confirmed12+ murders suspected,1974–1981,United States,Illinois,Unknown
Robert Zarinsky,"(1940-09-02)September 2, 1940Linden, New Jersey, US","November 28, 2008(2008-11-28) (aged 68)South Woods State Prison, Bridgeton, New Jersey, U.S.",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,3–10,1965 – 1974 (possibly earlier),United States,New Jersey,"February 22, 1975"
Ed Gein,"Edward Theodore Gein(1906-08-27)August 27, 1906La Crosse, Wisconsin, U.S.","July 26, 1984(1984-07-26) (aged 77)Mendota Mental Health Institute, Madison, Wisconsin, U.S.",Unknown,EddieThe Mad ButcherThe Plainfield GhoulThe Plainfield ButcherThe Butcher of Plainfield,Unknown,First degree murder (later found legally insane),Unknown,Unknown,2 murders confirmed7 others suspected9 corpses mutilated (obtained from desecrated graves),1947–1957,United States,Wisconsin,"November 16, 1957"
José Luis Calva,"Luis Calva ZepedaJune 20, 1969Mexico City, Mexico","December 11, 2007(2007-12-11) (aged 38)",Unknown,Unknown,Unknown,"Murder, cannibalism",Unknown,Unknown,2–8 (presumed),Unknown,Mexico,Mexican Federal District,October 2007
Shirley Winters,"(1958-02-27) February 27, 1958 (age 66)New York",Unknown,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,2–10,"1966 – November 28, 2006",United States,New York,March 2007
Richard Rogers,"(1950-06-16) June 16, 1950 (age 74)Plymouth, Massachusetts, U.S.",Unknown,Unknown,"""The Last Call Killer""",Unknown,"First degree murder (×2)
Hindering apprehension (×2)",Unknown,Unknown,Unknown,Unknown,United States,New Jersey,"May 28, 2001"
Rabidin Satir,"1970 (age 53–54)Kampung Libang Ulu, Tambunan, Sabah, Malaysia",Unknown,Unknown,Rambo Bentong,Unknown,Murder (two counts)RobberyFirearm offenceMultiple counts of rape and sexual assault,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Castration serial murders,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2–5+,1980 – 1986 (confirmed),United States,"Wyoming, Pennsylvania, Utah, Georgia, Connecticut;Others possible",Never apprehended
Steven Brian Pennell,"November 22, 1957Glasgow, Delaware, U.S.","March 14, 1992 (aged 34)James T. Vaughn Correctional Center, Smyrna, Delaware, U.S.",Unknown,The Route 40 KillerThe Corridor KillerThe Route 13 Killer,Unknown,First degree murder (2 counts),Unknown,Unknown,2–5,1987–1988,United States,Delaware,"November 29, 1988"
Glen Rogers,"(1962-07-15) July 15, 1962 (age 62)Hamilton, Ohio, U.S.",Unknown,Unknown,The Cross Country KillerThe Casanova Killer,Unknown,FloridaFirst degree murderArmed robberyGrand theft autoCaliforniaFirst degree murder with special circumstancesArson,Unknown,Unknown,"2 convictions, 3+ more suspected, 70 claimed","1993 – November 9, 1995",United States,CaliforniaFloridaKentucky (suspected)MississippiLouisiana,"November 13, 1995; 29 years ago (1995-11-13)"
Mary Elizabeth Wilson,"Mary Elizabeth Cassidy(1889-06-11)11 June 1889Catchgate, Stanley, Durham, England","5 December 1962(1962-12-05) (aged 73)HMP Holloway, London, England",Unknown,Merry Widow of Windy Nook,Unknown,Capital murder,Unknown,Unknown,2–4,1955–1957,England,Unknown,Unknown
Bradley Edwards,"(1968-12-07) 7 December 1968 (age 55)[29][full citation needed]Merredin, Western Australia[30][31]",Unknown,Unknown,Unknown,Unknown,2 × wilful murder (24 September 2020)[clarification needed],Unknown,Unknown,2 known1 suspected,27 January 1996 – 14 March 1997,Australia,Western Australia,Unknown
Hadden Clark,"Hadden Irving Clark (1952-07-31) July 31, 1952 (age 72)Troy, New York, U.S.",Unknown,Unknown,The Cross Dressing CannibalThe Rockville Rocket,Unknown,Murder (2 counts)Robbery,Unknown,Unknown,2+,1986–1992,United States,Maryland,"November 6, 1992"
Gary M. Heidnik,"Gary Michael Heidnik(1943-11-22)November 22, 1943Eastlake, Ohio, U.S.","July 6, 1999(1999-07-06) (aged 55)SCI Rockview, Benner Township, Centre County, Pennsylvania, U.S.",Unknown,Brother Bishop,Unknown,First degree murder (2 counts)Kidnapping (6 counts)Rape (5 counts)Aggravated assault (4 counts)Involuntary deviate sexual intercourse (2 counts),Unknown,Unknown,6 kidnapped4 survivors2 killed,"November 26, 1986 – March 19, 1987",United States,Pennsylvania,"March 24, 1987"
Johann Otto Hoch,"John Schmidt1855Horrweiler, Grand Duchy of Hesse","February 23, 1906 (aged 50/51)Chicago, Illinois, U.S.",Unknown,The Bluebeard MurdererC.A.MeyerH. IreckDr JamesJacob HuffC.A.CalfordJacob HochJacob ErdorffSchmittBartellHenry F. HartmanWilliam Frederick BessingMartin DotzAdolf HochMartin DoseAlbert BuschbergJohn HealeyCarl SchmidtCount Otto van KurnDr G. L. HartJohn Jacob Leo SchmidtLeo PregerJoseph HochJacob HockHenry BartellsJohn Joseph Adolf HochFred Doess,Unknown,Murder,Unknown,Unknown,1–50+,1890–1905,"United States, Austria,France, United Kingdom","Illinois, others possible",1905
Carl Großmann,"Carl Friedrich Wilhelm Großmann(1863-12-13)13 December 1863Neuruppin, Kingdom of Prussia",5 July 1922(1922-07-05) (aged 58)Weimar Republic,Unknown,Jack the SlaughtererThe Berlin Butcher,Unknown,AssaultChild molestation,Unknown,Unknown,26–100+,1918 – 21 August 1921,Germany,Berlin,21 August 1921
Bobby Jack Fowler,"Robert Jack Fowler(1939-06-12)June 12, 1939Merkel, Texas, U.S.","May 20, 2006(2006-05-20) (aged 66)Oregon State Penitentiary, Salem, Oregon, U.S.",Unknown,Unknown,Unknown,Rape Attempted kidnapping Arson Attempted rape Attempted murder Discharging a firearm within city limits,Unknown,Unknown,0 confirmed 1 charged 2 survived Up to 20–100+ suspected,1973 – 1995 (confirmed)  1969 – 1995 (possible),United States and Canada,"Oregon and British Columbia, possible active in other states in the United States and Canada","June 28, 1995"
Leszek Pękalski,"Leszek Pękalski (1966-02-12) 12 February 1966 (age 58)Osieki, Bytów, Poland",Unknown,Unknown,The Vampire of Bytów,Unknown,1 count of murder,Unknown,Unknown,1–80,1984–1992,Poland,Unknown,Unknown
Daniel Conahan,"Daniel Owen Conahan Jr. (1954-05-11) May 11, 1954 (age 70)Charlotte, North Carolina, U.S.",Unknown,Unknown,The Hog Trail Killer,Unknown,"First degree murder, Kidnapping",Unknown,Unknown,1 convicted  8+ suspected,Unknown,Unknown,Unknown,"July 3, 1996"
Tillie Klimek,Otylia Gburek[1]1876Poland,"20 November 1936(1936-11-20) (aged 59–60)Illinois State Penitentiary, Will County, Illinois, U.S.",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,5–7,1914–1921,United States,Illinois,Unknown
Lyda Southard,"(1892-10-16)October 16, 1892Keytesville, Missouri, U.S.","February 5, 1958(1958-02-05) (aged 65)Salt Lake City, Utah, U.S.",Unknown,"Lyda Anna Mae Trueblood""Flypaper Lyda""[1]""The Black Widow""",Life insurance,Second degree murder,Unknown,Unknown,1–6,1915–1920,United States,"Idaho, Montana",May 1921
John Norman Collins,"John Norman Collins (1947-06-17) June 17, 1947 (age 77)Windsor, Ontario, Canada",Unknown,Unknown,The Co-Ed Killer[2]The Michigan MurdererThe Ypsilanti KillerThe Ypsilanti Ripper,Unknown,First degree murder[1],Unknown,Unknown,1–7+,"July 9, 1967 – July 23, 1969",United States,Michigan: 1 (convicted); 5 (alleged)California: 1 (alleged),"July 30, 1969"
Velma Barfield,"Margie Velma Bullard(1932-10-29)October 29, 1932Eastover, North Carolina, U.S.","November 2, 1984(1984-11-02) (aged 52)Central Prison, Raleigh, North Carolina, U.S.",Unknown,Unknown,Unknown,First degree murderWriting bad checks (7 counts),Unknown,Unknown,6,"April 4, 1969 – February 4, 1978",United States,North Carolina,"May 13, 1978"
Raymond Morris,Unknown,Unknown,Unknown,The A34 murdersBabes in the Ditch murdersThe Half-Day murders,Child sexual abuseRape[1],Unknown,Unknown,Unknown,1 (convicted); 2 (alleged),8 September 1965  –  19 August 1967,United Kingdom,Unknown,15 November 1968
Robert Anthony Buell,"(1940-09-10)September 10, 1940Norwood, Ohio, U.S.","September 25, 2002(2002-09-25) (aged 62)Southern Ohio Correctional Facility, Lucasville, Ohio, U.S.",Unknown,Bob Buell,Unknown,Aggravated murderKidnapping (x3)Rape (x3)Felonious sexual penetration (x3)Felonious assault (x2),Unknown,Unknown,2–3,1981–1983,United States,Ohio,1984
Hensley Anthony Neville,Lim Hwee Huang1965 (1965)Singapore,"2 November 1984 (aged 19)Kallang Bahru, Singapore",Unknown,Michelle LimLim Kwee Huang,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Harold Shipman,"Harold Frederick Shipman(1946-01-14)14 January 1946Nottingham, Nottinghamshire, England","13 January 2004(2004-01-13) (aged 57)HM Prison Wakefield, West Yorkshire, England",Unknown,"""Dr. Death""[2]""The Angel of Death""[2]""The Good Doctor""[3]",Unknown,Unknown,Unknown,Unknown,"284 confirmed (15 convicted), possibly more [1]",1975–1998,England,Unknown,7 September 1998
Niels Högel,"Niels Högel (1976-12-30) 30 December 1976 (age 47)Wilhelmshaven, Lower Saxony, West Germany",Unknown,Unknown,Unknown,Unknown,Murder (85 counts),Unknown,Unknown,85–300[1],2000–2005,Germany,Lower Saxony,Unknown
Baba Anujka,"Ana Drakšin1838Malovăț,
Romania","1 September 1938(aged 100)Vladimirovac, Yugoslavia",Unknown,The Banat WitchThe Witch of Vladimirovac,Unknown,Murder,Unknown,Unknown,50–150,Unknown,Kingdom of Yugoslavia,Unknown,June 1928
Kermit Gosnell,"Kermit Barron Gosnell (1941-02-09) February 9, 1941 (age 83)Philadelphia, Pennsylvania, U.S.",Unknown,Unknown,Unknown,Unknown,FederalConspiracy to distribute controlled substances (21 U.S.C. § 846)Distribution of controlled substances (21 U.S.C. § 841) (10 counts)Maintaining a place for the illegal distribution of controlled substances (21 U.S.C. § 856)PennsylvaniaFirst degree murder (3 counts)Involuntary manslaughterPerforming an illegal late-term abortion (21 counts)Violating the 24-hour informed consent law (211 counts),Unknown,Unknown,48+[1],2006–2010,United States,Pennsylvania,"January 19, 2011"
Louay Omar Mohammed al-Taei,Louay Omar Mohammed al-TaeiIraq,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,43,October 2005 – March 2006,Iraq,Kirkuk,March 2006
Donald Harvey,"(1952-04-15)April 15, 1952Hamilton, Ohio, U.S.","March 30, 2017(2017-03-30) (aged 64)Toledo, Ohio, U.S.",Unknown,"""Angel of Death""",Unknown,Unknown,Unknown,Unknown,37 confirmed87 alleged and suspected,1970–1987,United States,"Ohio, Kentucky","April 6, 1987"
Jane Toppan,"Honora KelleyMarch 31, 1854Boston, Massachusetts, U.S.","August 17, 1938 (aged 84)",Unknown,Jolly Jane,"Unclear, possibly sexual fetishism and/or sadism",Unknown,Unknown,Unknown,"12 confirmed, 31 confessed, more than 100 suspected",1895–1901,US,Massachusetts,"October 29, 1901; 123 years ago (1901-10-29)"
Charles Cullen,"Charles Edmund Cullen (1960-02-22) February 22, 1960 (age 64)West Orange, New Jersey, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,29 confirmed; several hundred more suspected and six more attempts,1988–2003,United States,New JerseyPennsylvania,"December 15, 2003"
Stephan Letter,"(1978-09-17) 17 September 1978 (age 46)Herdecke, North Rhine-Westphalia",Unknown,Unknown,Unknown,Unknown,"Murder, manslaughter",Unknown,Unknown,29+,January 2003 – July 2004,Germany,Unknown,29 July 2004
Marcel Petiot,"17 January 1897Auxerre, Yonne, France","25 May 1946(1946-05-25) (aged 49)La Santé Prison, Paris, France",Unknown,"""Captain Valery""""Docteur Satan""",Financial gain,Murder (26 counts),Unknown,Unknown,27–63+,Unknown,German-occupied France,Seine,31 October 1944
Arnfinn Nesset,"(1936-10-25) 25 October 1936 (age 88)Trøndelag, Norway",Unknown,Unknown,Unknown,Unknown,Murder (22 counts)Attempted murder,Unknown,Unknown,22–138,1981–1983,Norway,Unknown,Unknown
Roger Andermatt,"1969 (age 54–55)Lucerne, Switzerland",Unknown,Unknown,The Death-Keeper of Lucerne,Unknown,Murder,Unknown,Unknown,22,1995–2001,Switzerland,Unknown,Unknown
Linda Hazzard,"Lynda Laura Burfield(1867-12-18)December 18, 1867Carver, Minnesota, U.S.","June 24, 1938(1938-06-24) (aged 70)",Unknown,"Linda Burfield Hazzard""Starvation Doctor""",Financial gain,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Maxim Petrov,"Maxim Vladimirovich Petrov (1965-11-14) 14 November 1965 (age 59)Kolpino, Leningrad Oblast, RSFSR",Unknown,Unknown,Doctor Death,Unknown,Murder,Unknown,Unknown,11–19,1999–2000,Russia,Unknown,17 January 2000
Joan Vila,Joan Vila Dilme1966 (age 57–58)Spain,Unknown,Unknown,Angel of DeathPorter of Olot[1],Unknown,Murder,Unknown,Unknown,11,August 2009 – October 2010,Spain,Unknown,"October 18, 2010"
Vickie Dawn Jackson,"Vickie Dawn Carson (1966-02-13) February 13, 1966 (age 58)Montague County, Texas, U.S.",Unknown,Unknown,Unknown,Unknown,Capital murder,Unknown,Unknown,10+,2000–2001,United States,Texas,"July 16, 2002"
Ludivine Chambet,(1983-05-10) 10 May 1983 (age 41)France,Unknown,Unknown,"""The Poisoner of Chambéry""",Unknown,Murder,Unknown,Unknown,10,2012–2013,France,Auvergne-Rhône-Alpes,Unknown
Frederick Mors,"Carl Menarik(1889-10-02)October 2, 1889Vienna, Austria","c.1918 (aged 28–29)Torrington, Connecticut, U.S.",Unknown,"""Frederick Maurice Beno""",Unknown,Unknown,Unknown,Unknown,8,1914–1915,United States,New York,January 1915
Elizabeth Wettlaufer,"Elizabeth Mae Parker (1967-06-10) June 10, 1967 (age 57)Zorra, Ontario, Canada",Unknown,Unknown,Beth ParkerBetty Weston,Unknown,MurderAttempted murderAggravated assault,Unknown,Unknown,"14 (8 killed, 6 attempted)",2007–2016,Canada,Unknown,"October 25, 2016"
Petr Zelenka,"(1976-02-27) February 27, 1976 (age 48)Czech Republic",Unknown,Unknown,Unknown,Unknown,"Murder, Attempted murder",Unknown,Unknown,7,May – December 2006,Czech Republic,Havlíčkův Brod,Unknown
Marianne Nölle,"1938Cologne, Germany",28 July 2022 (aged 83–84),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1993
Lucy Letby,"(1990-01-04) 4 January 1990 (age 34)Hereford, Herefordshire, England",Unknown,Unknown,Unknown,Unknown,"Murder (7 counts), attempted murder (8 counts)",Unknown,Unknown,Unknown,2015–2016,United Kingdom,Unknown,3 July 2018
Orville Lynn Majors,"(1961-04-24)April 24, 1961Linton, Indiana, U.S.","September 24, 2017(2017-09-24) (aged 56)Indiana State Prison, Michigan City, Indiana, U.S.",Unknown,Unknown,Unknown,Murder (6 counts),Unknown,Unknown,6–130,1993–1995,United States,Indiana,1997
Efren Saldivar,"(1969-09-30) September 30, 1969 (age 55)Brownsville, Texas, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6–200+,1988–1998,United States,California,13 March 1998
Christine Malèvre,(1970-01-10) 10 January 1970 (age 54),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1998
Antoinette Scieri,Italy[1],1968,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ahmad Ahmadi,"1885Mashhad, Iran","October 1944 (aged 58/59)Toopkhaneh, Tehran, Iran",Unknown,Unknown,Unknown,Murder (2 counts),Unknown,Unknown,Unknown,Unknown,Iran,Unknown,Unknown
Kristen Gilbert,"Kristen Heather Strickland (1967-11-13) November 13, 1967 (age 57)Fall River, Massachusetts, U.S.",Unknown,Unknown,"""The Angel of Death""",Attention seeking,First degree murder (18 U.S.C. § 1111) (3 counts)Second degree murder (18 U.S.C. § 1111)Assault with intent to commit murder (18 U.S.C. § 113) (2 counts),Unknown,Unknown,4+,1995 – 1996 (Gilbert is suspected of deaths dating back to 1989),United States,Massachusetts,Unknown
